contig,bplen,gc_content,coding_density,checkv_quality,checkv_completeness,checkv_contamination,description,taxonomy
KJ626540.1,1022,33.66,87.18,Low-quality,6.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
AB541201.1,7509,49.45,10.75,High-quality,99.32,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae
KU341724.1,8591,40.85,7.23,High-quality,95.22,0.0,unknown,Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae
KJ752394.1,3269,32.09,99.85,Low-quality,18.14,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ752395.1,2650,32.49,99.51,Low-quality,14.9,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ752396.1,2530,30.16,99.13,Low-quality,13.98,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ752397.1,2333,35.45,99.66,Low-quality,12.84,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ752389.1,1519,27.98,95.98,Low-quality,8.86,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ752398.1,1320,37.73,90.45,Low-quality,7.63,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ752391.1,1007,31.48,93.84,Low-quality,5.89,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ752390.1,1001,33.77,96.5,Low-quality,5.86,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ752399.1,1023,31.67,87.1,Low-quality,5.99,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
AB933734.1,7509,50.18,10.71,High-quality,99.33,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae
AB040749.1,8280,58.96,88.12,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Patatavirales;Potyviridae
KX884321.1,9887,41.09,28.86,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales
AY172454.1,2632,39.02,13.79,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Lenarviricota;Howeltoviricetes;Cryppavirales;Mitoviridae
JX173277.1,7001,37.29,95.86,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae
CY018067.1,2324,39.16,97.07,Low-quality,16.96,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Insthoviricetes;Articulavirales;Orthomyxoviridae
CY018068.1,2354,38.06,98.13,Low-quality,16.21,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Insthoviricetes;Articulavirales;Orthomyxoviridae
CY018066.1,2270,38.15,93.3,Low-quality,15.63,0.0,unknown,unknown
CY018061.1,1840,42.07,95.71,Low-quality,12.67,0.0,unknown,unknown
CY018064.1,1794,42.25,93.65,Low-quality,12.35,0.0,unknown,unknown
CY018063.1,1525,42.1,9.64,Low-quality,10.5,0.0,unknown,unknown
CY018062.1,1146,38.66,19.11,Low-quality,7.89,0.0,unknown,unknown
CY018065.1,1035,40.58,21.16,Low-quality,7.13,0.0,unknown,unknown
HQ852468.1,9624,57.61,92.89,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae
MN627480.1,8956,40.42,61.3,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Patatavirales;Potyviridae
LT909549.1,11929,44.97,53.49,High-quality,99.93,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae
KC312700.1,3959,50.09,98.51,Low-quality,16.91,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Spinareoviridae
JF320802.1,2283,49.45,96.71,Low-quality,9.75,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Spinareoviridae
JF320801.2,2158,50.88,95.23,Low-quality,9.2,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Spinareoviridae
JF320800.1,1996,52.25,93.94,Low-quality,8.52,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Spinareoviridae
KC312699.1,1568,48.47,66.77,Low-quality,6.67,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Spinareoviridae
JF320803.2,1324,52.49,95.39,Low-quality,5.65,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Spinareoviridae
GQ888710.1,1202,49.42,92.6,Low-quality,5.13,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Spinareoviridae
GU338025.1,1191,52.23,94.21,Low-quality,5.08,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Spinareoviridae
KC312701.1,3830,49.09,98.93,Low-quality,16.36,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Spinareoviridae
KC312702.1,3907,48.86,98.98,Low-quality,16.69,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Spinareoviridae
FM877781.1,9721,42.43,6.45,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae
MZ209998.1,3406,52.35,47.92,High-quality,90.72,0.0,unknown,Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
HQ392421.1,3269,30.77,99.85,Low-quality,18.15,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
HQ392430.1,2698,31.43,99.41,Low-quality,15.2,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
HQ392429.1,2530,29.01,99.13,Low-quality,14.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
HQ392428.1,2335,31.61,99.57,Low-quality,12.85,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
HQ392423.1,1519,30.41,95.98,Low-quality,8.92,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
HQ392427.1,1320,36.06,90.45,Low-quality,7.64,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
HQ392426.1,1015,31.63,93.1,Low-quality,5.95,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
HQ392422.1,1019,33.17,95.68,Low-quality,5.98,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
AF246940.1,1674,43.91,92.65,Not-determined,unknown,0.0,"Human picobirnavirus strain 4-GA-91 segment 2 RNA-dependent RNA polymerase gene, complete cds",Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae
MF352425.1,7656,42.76,91.42,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Patatavirales;Potyviridae
EU755009.1,7786,43.14,86.73,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Patatavirales;Potyviridae
BK013432.1,3992,49.75,45.17,High-quality,99.26,0.0,unknown,Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
KY471465.1,3965,41.16,98.74,Low-quality,20.51,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KY471473.1,3218,40.71,98.82,Low-quality,16.41,0.0,unknown,unknown
KY471481.1,2792,43.02,98.1,Low-quality,14.44,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KY471489.1,1978,42.06,97.83,Low-quality,10.21,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KY471497.1,1748,41.7,94.05,Low-quality,8.93,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KY471505.1,1564,42.9,98.02,Low-quality,7.99,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KY471513.1,1167,46.44,91.0,Low-quality,5.97,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KY471521.1,1166,44.51,95.71,Low-quality,5.95,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KY471529.1,1169,47.82,94.7,Low-quality,5.97,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
U18059.1,12513,45.43,94.77,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae
LC364343.1,26155,39.57,1.43,High-quality,99.73,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Coronaviridae
MW784081.1,6337,50.94,37.07,High-quality,99.76,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae
MZ209973.1,8789,50.02,4.3,Low-quality,6.74,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Hepelivirales;Hepeviridae
FJ644291.1,10865,52.43,3.76,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae
MH427312.1,9625,57.63,93.94,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae
KJ721727.1,2440,32.7,99.96,Low-quality,13.77,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ940057.1,2666,33.01,98.91,Low-quality,14.99,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ721716.1,2533,30.52,98.89,Low-quality,13.99,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ940067.1,2327,31.89,99.91,Low-quality,12.81,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ721782.1,1556,28.21,95.05,Low-quality,9.08,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ721705.1,1280,37.66,93.05,Low-quality,7.4,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
MZ679659.1,3739,50.41,52.71,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
KC409294.1,7511,49.39,10.7,High-quality,99.36,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae
MN611619.1,2464,49.84,89.12,High-quality,94.54,0.0,unknown,Viruses;Riboviria;Orthornavirae;Lenarviricota;Miaviricetes;Ourlivirales;Botourmiaviridae
MN557006.1,9037,40.42,8.1,High-quality,92.97,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales
KF961187.1,9566,44.87,3.58,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Patatavirales;Potyviridae
AP014895.1,4979,54.41,47.06,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales;Totiviridae
LC075494.1,5997,50.58,91.35,Medium-quality,65.85,0.0,"Red clover powdery mildew-associated totivirus 9 gene for polyprotein, complete cds, isolate: RPaTV9_85-21",Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales;Totiviridae
KX884440.1,13283,45.64,50.18,High-quality,100.0,0.0,"Shayang ascaridia galli virus 2 strain SYJFC48550 putative nucleoprotein, hypothetical protein, putative glycoprotein, and RNA-dependent RNA polymerase genes, complete cds",Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae
KX468764.1,8883,38.69,97.37,Medium-quality,52.77,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Tospoviridae
KX468763.1,4714,36.64,72.23,Low-quality,29.26,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Peribunyaviridae
KX468762.1,2475,42.55,33.21,Low-quality,16.81,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Tospoviridae
BK014155.1,3851,50.32,46.43,High-quality,97.59,0.0,TPA_asm: SsRNA phage SRR6960551_3 genomic sequence,Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
EF087994.1,8410,40.81,4.67,High-quality,93.24,0.0,unknown,Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae
KR230755.1,6368,48.62,98.41,Medium-quality,55.33,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Phenuiviridae
KR230775.1,3379,49.19,95.8,Low-quality,29.36,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Phenuiviridae
KR230795.1,1744,49.89,44.55,Low-quality,15.13,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Phenuiviridae
KX883680.1,10647,33.37,8.62,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Patatavirales;Potyviridae
KX213531.1,8908,34.41,0.84,Medium-quality,52.79,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Tospoviridae
KX213532.1,4772,35.39,70.66,Low-quality,29.14,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Peribunyaviridae
KX213533.1,2991,36.64,27.78,Low-quality,17.62,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Tospoviridae
HM566155.1,6379,42.25,98.34,Medium-quality,51.05,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Phenuiviridae
HM566157.1,4186,42.86,2.08,Low-quality,33.74,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Phenuiviridae
HM566156.1,1834,45.97,40.08,Low-quality,14.79,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Phenuiviridae
JQ924285.1,9649,41.97,4.97,High-quality,98.75,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Patatavirales;Potyviridae
ON241321.1,8527,45.64,3.91,High-quality,92.36,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae
MZ209660.1,7358,41.47,97.2,Medium-quality,53.71,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Phasmaviridae
HM467927.1,3261,32.26,100.0,Low-quality,18.09,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
HM467933.1,2639,32.78,99.7,Low-quality,14.84,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
HM467934.1,2505,30.42,100.0,Low-quality,13.84,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
HM467945.1,2316,31.74,99.87,Low-quality,12.75,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
HM467963.1,1520,27.63,96.51,Low-quality,8.87,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
HM467951.1,1285,37.74,92.68,Low-quality,7.43,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
HM467975.1,1018,31.53,92.24,Low-quality,5.95,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
HM467969.1,1017,35.4,95.87,Low-quality,5.96,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
HM467956.1,1013,32.18,87.96,Low-quality,5.93,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KX883112.1,4491,48.79,23.38,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Magsaviricetes;Nodamuvirales;Nodaviridae
KF039731.1,7600,48.16,8.37,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae
KX883629.1,20278,57.35,0.38,Not-determined,unknown,0.0,unknown,unknown
JN614996.1,6899,40.24,94.71,High-quality,94.6,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Patatavirales;Potyviridae
KT444582.1,30290,40.9,4.18,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Coronaviridae
MW310369.1,6482,33.72,98.35,Medium-quality,59.82,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Phasmaviridae
MW310370.1,2371,34.58,92.11,Low-quality,22.03,0.0,unknown,unknown
MW310371.1,1307,36.34,78.73,Not-determined,unknown,0.0,unknown,unknown
U18101.2,11019,42.97,57.64,High-quality,99.53,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Paramyxoviridae
MT120306.1,2002,52.75,9.14,Medium-quality,50.9,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota
MT120307.1,1738,58.06,24.86,Low-quality,44.43,0.0,unknown,unknown
MG230624.1,17771,36.46,0.42,High-quality,95.08,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Paramyxoviridae
KU343151.1,12004,38.34,99.12,Medium-quality,64.99,0.0,UNVERIFIED: Orthonairovirus khani isolate JD254 segment L cRNA sequence,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Nairoviridae
KU343152.1,4436,41.14,89.27,Low-quality,24.14,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Nairoviridae
KU343153.1,1768,43.95,84.67,Low-quality,9.55,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Nairoviridae
AF013365.1,1011,46.59,100.0,Low-quality,4.83,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae
MW784079.1,6352,50.14,36.93,High-quality,99.8,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae
AB186897.1,2525,45.78,65.58,Medium-quality,59.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae
AB186898.1,1745,46.36,91.81,Low-quality,41.01,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae
HF572914.1,3359,46.26,88.69,Low-quality,38.83,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Bromoviridae
HF572915.1,3046,44.98,84.41,Low-quality,35.29,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales
HF572916.1,2216,47.02,29.51,Low-quality,25.61,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Bromoviridae
MN161561.1,27270,43.77,1.68,High-quality,90.22,0.0,"Serpentovirinae sp. isolate C18 ORF1AB (ORF1AB), ORF1A (ORF1A), ORF1B (ORF1B), spike protein (ORF2), putative transmembrane protein (ORF3), putative matrix protein (ORF4), and putative nucleoprotein (ORF5) genes, complete cds",Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Tobaniviridae
MN738553.1,9117,36.43,30.96,High-quality,99.81,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae
AB541275.1,7506,49.72,10.67,High-quality,99.28,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae
KM272186.1,6925,35.16,98.47,Medium-quality,55.55,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Peribunyaviridae
KM272187.1,5088,35.55,93.87,Low-quality,38.93,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Peribunyaviridae
KM272188.1,1153,37.81,61.93,Low-quality,8.86,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Peribunyaviridae
U26458.1,10688,45.1,5.75,Complete,100.0,0.0,unknown,unknown
JF735117.1,9510,56.85,95.62,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae
KT918787.1,3273,30.8,99.73,Low-quality,18.17,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KT918788.1,2695,31.39,99.52,Low-quality,15.19,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KT918789.1,2530,28.46,99.13,Low-quality,13.99,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KT918790.1,2332,31.78,99.7,Low-quality,12.84,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KT918782.1,1520,30.66,96.12,Low-quality,8.93,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KT918791.1,1325,35.7,90.34,Low-quality,7.67,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KT918784.1,1018,31.43,93.12,Low-quality,5.97,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KT918783.1,1003,31.31,96.31,Low-quality,5.89,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KT918792.1,1018,33.2,87.52,Low-quality,5.97,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
HQ644142.1,8876,34.5,97.51,Medium-quality,52.55,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Tospoviridae
HQ644141.1,4848,36.92,71.91,Low-quality,28.71,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Peribunyaviridae
HQ644140.1,3067,35.9,25.24,Low-quality,18.16,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Tospoviridae
MW442873.1,3453,49.55,94.61,Medium-quality,80.64,0.0,unknown,Viruses;Riboviria;Orthornavirae;Lenarviricota;Amabiliviricetes;Wolframvirales;Narnaviridae
MW442874.1,3100,48.97,92.81,Not-determined,unknown,0.0,unknown,unknown
AB541234.1,7509,49.35,10.71,High-quality,99.32,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae
MT062429.1,2218,57.35,72.5,High-quality,97.24,0.0,unknown,Viruses;Riboviria;Orthornavirae;Lenarviricota;Miaviricetes;Ourlivirales;Botourmiaviridae
KJ639012.1,3299,31.98,98.94,Low-quality,18.3,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ639013.1,2663,32.93,99.59,Low-quality,14.97,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ639014.1,2566,30.44,98.56,Low-quality,14.18,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ639015.1,2359,32.09,98.94,Low-quality,12.98,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ639018.1,1548,27.78,96.12,Low-quality,9.03,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ639016.1,1356,37.68,89.38,Low-quality,7.84,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ639020.1,1066,31.52,90.34,Low-quality,6.23,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
